ID,Time,Sex,Age,Weight,PrExp,Ketamine,Isoflurane,NormalizedTotalKetamineIsoflurane,DexdomitorandAtipamezole,SexKetamine,SexIsoflurane,KetamineDexdomitorAtipamezole,SexKetamineDexdomitorAtipamezole,01_cst_r_frontal,02_opt_r,03_optr_r_inferior,04_opt_l,05_optr_l_superior,06_cc3v,07_ccg_32,08_fornix_r,09_cst_l_frontal,10_cc5v,11_icp_r,12_scp_r,13_cc1d,14_cst_l_parietal,15_cg_r,16_cc3d,17_uf_l_lateral,18_cc_tapetum_inf,19_uf_r_lateral,20_ilf_l,21_ilf_r,22_cc1v,23_ccs,24_scp_l,25_ccg_ant,26_icp_l,27_uf_r_medial,28_cc_tapetum_sup,29_optr_r_superior,30_cg_l,31_uf_l_medial,32_cc4d,33_optr_l_inferior,34_cst_r_parietal,35_fornix_l
16,20,0,606,2.98,4,63,1,7.3,0.495,0,0,63.495,0,0.55959,0.38759,0.48451,0.35827,0.48955,0.57384,0.31029,0.408765714,0.54481,0.51548,0.37373,0.41535,0.47664,0.53929,0.45587,0.51479,0.39831,0.329129333,0.44278,0.4411,0.47837,0.48344,0.41917,0.4181,0.46567,0.3668,0.3238,0.283433673,0.52459,0.4362,0.30125,0.41076,0.45375,0.53931,0.403187917
17,3,0,95,0.714,0,0,0,0,0,0,0,0,0,0.46244,0.3279,0.36374,0.28187,0.38731,0.43451,0.2662,0.364284286,0.44957,0.42823,0.25213,0.33173,0.39762,0.44574,0.23877,0.35442,0.31549,0.284318833,0.32709,0.3304,0.35979,0.40292,0.50339,0.35739,0.33951,0.2431,0.28143,0.267363673,0.40354,0.2917,0.27147,0.28121,0.35906,0.46343,0.343702917
17,7,0,228,1.42,1,20,1,3,0,0,0,20,0,0.52299,0.39257,0.45081,0.36686,0.47354,0.48542,0.30666,0.385475714,0.52284,0.48189,0.33976,0.4426,0.44823,0.52213,0.32408,0.39884,0.40144,0.312084667,0.38626,0.42859,0.42482,0.49281,0.50305,0.44562,0.41252,0.34557,0.31675,0.277176735,0.49373,0.33005,0.30486,0.32618,0.43046,0.51028,0.379173333
17,11,0,326,2,2,35,1,4.5,0.165,0,0,35.165,0,0.51509,0.38219,0.44677,0.34696,0.47394,0.49413,0.30942,0.376775714,0.51297,0.48811,0.33663,0.43653,0.45806,0.50217,0.34993,0.41375,0.40721,0.295127833,0.38259,0.43305,0.42511,0.48345,0.52568,0.43797,0.4133,0.32752,0.33858,0.273046531,0.49051,0.34327,0.32076,0.33864,0.43968,0.50761,0.36355625
17,15,0,445,2.46,3,50,1,6,0.33,0,0,50.33,0,0.53647,0.38372,0.46147,0.34838,0.49246,0.51424,0.31898,0.378231429,0.52734,0.49822,0.31874,0.41241,0.43613,0.49926,0.35883,0.41074,0.40907,0.318849333,0.39993,0.44267,0.44195,0.50207,0.51185,0.40457,0.43509,0.33231,0.35388,0.276541633,0.51468,0.36095,0.32115,0.35737,0.45785,0.50969,0.371740417
17,19,0,578,3,4,65,1,7.5,0.495,0,0,65.495,0,0.53821,0.38493,0.46618,0.34434,0.48079,0.52257,0.31289,0.398892857,0.51524,0.49615,0.32375,0.40235,0.44359,0.49416,0.40181,0.43779,0.3981,0.328320333,0.37859,0.42327,0.44766,0.48119,0.40469,0.40767,0.42856,0.31976,0.36197,0.268632041,0.50879,0.39352,0.30742,0.38092,0.44772,0.5025,0.372159167
18,3,1,103,1.008,0,0,0,0,0,0,0,0,0,0.43916,0.31323,0.36545,0.30266,0.3956,0.43904,0.26135,0.344812857,0.44575,0.4477,0.2735,0.36829,0.40202,0.44062,0.31484,0.3867,0.3269,0.2775325,0.34315,0.34732,0.33501,0.42209,0.4153,0.37421,0.35622,0.28567,0.24854,0.264264898,0.41315,0.30315,0.23903,0.29599,0.36395,0.42334,0.346769583
18,7,1,229,1.52,1,20,1,3,0,20,1,20,20,0.4732,0.32933,0.40914,0.32323,0.44122,0.46172,0.26564,0.318311429,0.4757,0.45771,0.33288,0.41457,0.38556,0.4659,0.30104,0.38662,0.34271,0.263073,0.3624,0.40206,0.37574,0.44247,0.46299,0.40623,0.36182,0.34614,0.25722,0.242253469,0.43379,0.28813,0.24686,0.27965,0.41882,0.45667,0.321334167
18,11,1,313,2.04,2,35,1,4.5,0.165,35,1,35.165,35.165,0.48842,0.3502,0.43664,0.33257,0.45194,0.48674,0.30357,0.367107143,0.48929,0.49429,0.34031,0.43556,0.43518,0.4832,0.33078,0.42214,0.36098,0.284714583,0.38785,0.4019,0.39117,0.47841,0.4846,0.42076,0.4024,0.35444,0.27757,0.284131429,0.47937,0.30999,0.26272,0.31682,0.42399,0.48098,0.350606667
18,15,1,432,2.34,3,50,1,6,0.33,50,1,50.33,50.33,0.52715,0.35451,0.44831,0.33531,0.46631,0.5208,0.30445,0.375922857,0.52155,0.51215,0.35602,0.43779,0.46389,0.51214,0.3731,0.44554,0.37884,0.318032167,0.40973,0.40889,0.41102,0.49724,0.47797,0.42857,0.42241,0.35881,0.3032,0.283756327,0.49725,0.34529,0.27076,0.33523,0.43461,0.51065,0.372953333
